Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Freekick Accuracy,LongPassing,BallControl,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,Goalkeeper Diving,Goalkeeper Handling,GoalkeeperKicking,Goalkeeper Positioning,Goalkeeper Reflexes,ST Rating,LW Rating,LF Rating,CF Rating,RF Rating,RW Rating,CAM Rating,LM Rating,CM Rating,RM Rating,LWB Rating,CDM Rating,RWB Rating,LB Rating,CB Rating,RB Rating,GK Rating,player,overall,potential,value_eur,age,total_stats,best_position,nationality,position_group,ability_tier,cell
L. Mühl,Lukas Mühl,70,74,2000000,CB,CB,Germany,https://cdn.sofifa.net/players/233/960/23_60.png,25,189,83,1631,360,FK Austria Wien,10000,3100000,CB,2023,20,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,70,37,54,56,69,74,45,25,69,65,39,51,39,22,63,63,61,78,54,67,53,59,75,63,81,45,69,71,30,51,26,58,68,70,68,14,14,11,12,10,54,52,52,52,52,52,56,57,61,57,66,69,66,68,72,68,20,L. Mühl,70,74,2000000,25,1631,CB,Germany,Defender,Rotation 70-77,Defender / Rotation 70-77
K. Théophile-Catherine,Kévin Théophile-Catherine,70,70,1000000,CB,CB,France,https://cdn.sofifa.net/players/190/868/23_60.png,32,183,86,1842,397,Dinamo Zagreb,550,2200000,SUB,2023,28,2018,-,Right,3,3,2,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,72,49,64,65,69,78,57,43,66,72,37,60,66,51,70,68,77,68,70,66,72,60,84,78,78,57,77,67,48,57,45,64,65,74,68,9,6,6,9,11,61,61,60,60,60,61,64,65,68,65,70,70,70,70,70,70,17,K. Théophile-Catherine,70,70,1000000,32,1842,CB,France,Defender,Rotation 70-77,Defender / Rotation 70-77
Eltildo Bessa,Elton Matheus Bessa Acuna,70,70,1800000,"ST,CF,LW",CF,Brazil,https://cdn.sofifa.net/players/230/292/23_60.png,26,165,62,1762,361,Fortaleza,9000,3400000,ST,2025,28,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Low,86,68,56,76,31,44,40,71,61,61,75,73,76,64,43,75,85,87,87,78,87,62,69,70,30,63,42,26,77,65,59,79,30,25,29,12,9,11,12,8,70,70,70,70,70,70,70,70,64,70,54,49,54,52,43,52,20,Eltildo Bessa,70,70,1800000,26,1762,CF,Brazil,Forward,Rotation 70-77,Forward / Rotation 70-77
S. Giordana,Santiago Giordana,70,70,1700000,ST,ST,Argentina,https://cdn.sofifa.net/players/224/404/23_60.png,27,179,78,1698,357,Mushuc Runa,500,3700000,ST,2022,32,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Low,67,71,58,66,29,66,59,75,70,66,72,65,50,47,59,66,66,67,72,66,71,66,60,70,70,65,52,27,76,47,69,60,17,29,29,8,15,10,7,10,70,66,67,67,67,66,67,67,62,67,52,50,52,50,46,50,18,S. Giordana,70,70,1700000,27,1698,ST,Argentina,Forward,Rotation 70-77,Forward / Rotation 70-77
Ryder Matos,Ryder Matos Santos Pinto,70,70,1600000,"RW,ST,CF",RW,Brazil,https://cdn.sofifa.net/players/201/363/23_60.png,29,182,70,1765,376,Perugia,3000,2500000,SUB,2024,10,2021,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,77,64,61,75,34,65,60,63,59,68,62,76,64,60,52,77,74,80,77,63,76,68,88,71,64,62,54,24,70,58,57,68,40,28,26,12,7,7,7,11,70,70,69,69,69,70,70,70,64,70,56,52,56,53,48,53,17,Ryder Matos,70,70,1600000,29,1765,RW,Brazil,Forward,Rotation 70-77,Forward / Rotation 70-77
B. Mendy,Batista Mendy,70,80,3400000,"CDM,CB,CM",CB,France,https://cdn.sofifa.net/players/244/114/23_60.png,22,191,82,1728,381,Angers SCO,10000,7500000,CDM,2024,2,2021,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,60,50,63,60,70,78,56,44,71,73,43,61,58,42,67,69,55,64,32,62,50,70,69,68,88,48,68,66,50,58,39,59,69,74,69,8,12,6,6,13,62,58,60,60,60,58,62,63,66,63,68,71,68,69,73,69,17,B. Mendy,70,80,3400000,22,1728,CB,France,Defender,Rotation 70-77,Defender / Rotation 70-77
Chumi,Juan Brandáriz Movilla,70,78,3300000,"CB,RB",CB,Spain,https://cdn.sofifa.net/players/241/810/23_60.png,23,186,78,1568,335,Unión Deportiva Almería,11000,7900000,SUB,2025,21,2020,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,52,36,50,56,71,70,38,30,66,67,33,51,34,36,50,65,49,54,39,68,57,47,82,58,73,36,72,69,34,41,50,62,71,73,70,7,14,9,11,14,52,49,50,50,50,49,53,53,58,53,64,68,64,65,72,65,20,Chumi,70,78,3300000,23,1568,CB,Spain,Defender,Rotation 70-77,Defender / Rotation 70-77
Jesús Imaz,Jesús Imaz Ballesté,70,70,1300000,"ST,CF,CAM",RW,Spain,https://cdn.sofifa.net/players/224/146/23_60.png,31,179,70,1789,382,Jagiellonia Białystok,7000,1800000,ST,2025,11,2019,-,Right,4,4,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,80,71,67,72,31,61,62,73,56,71,65,71,52,55,71,71,81,80,84,67,82,72,60,76,63,69,37,34,69,67,72,61,31,24,23,7,9,15,8,12,70,70,70,70,70,70,70,70,68,70,57,54,57,53,45,53,18,Jesús Imaz,70,70,1300000,31,1789,RW,Spain,Forward,Rotation 70-77,Forward / Rotation 70-77
S. Gallagher,Sam Gallagher,70,71,1900000,"ST,RW",ST,England,https://cdn.sofifa.net/players/213/905/23_60.png,26,193,75,1802,384,Blackburn Rovers,25000,3800000,ST,2024,9,2019,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High,70,69,58,67,45,75,64,70,74,59,71,69,54,45,53,67,65,74,64,69,54,76,75,73,78,64,71,44,68,57,60,59,40,41,43,12,11,16,13,8,71,66,67,67,67,66,66,68,63,68,60,57,60,58,58,58,20,S. Gallagher,70,71,1900000,26,1802,ST,England,Forward,Rotation 70-77,Forward / Rotation 70-77
D. Kinsombi,David Kinsombi,70,71,1900000,"CM,CDM",CM,Germany,https://cdn.sofifa.net/players/212/625/23_60.png,26,183,74,1882,407,SV Sandhausen,5000,3200000,LM,2023,10,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,68,64,63,72,66,74,47,68,59,73,45,71,50,33,69,72,75,63,73,66,75,67,84,74,75,58,71,66,68,68,58,73,64,69,66,11,11,7,12,14,69,67,69,69,69,67,71,70,71,70,68,71,68,68,70,68,20,D. Kinsombi,70,71,1900000,26,1882,CM,Germany,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Rodrigo Muniz,Rodrigo Muniz Carvalho,70,81,3600000,ST,ST,Brazil,https://cdn.sofifa.net/players/264/337/23_60.png,21,185,79,1741,370,Middlesbrough,23000,0,ST,2023,9,2021,TRUE,Right,3,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,70,70,56,69,33,72,46,71,69,62,68,67,58,41,52,71,69,71,73,66,66,75,71,65,78,66,64,32,69,61,65,65,30,28,26,12,13,13,11,12,72,66,68,68,68,66,68,66,62,66,52,52,52,50,50,50,20,Rodrigo Muniz,70,81,3600000,21,1741,ST,Brazil,Forward,Rotation 70-77,Forward / Rotation 70-77
Iván Martín,Iván Martín Núñez,70,79,3500000,"RM,CM,LM",CAM,Spain,https://cdn.sofifa.net/players/246/928/23_60.png,23,178,70,1706,365,Girona FC,14000,0,SUB,2023,23,2018,TRUE,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Low,75,61,69,71,41,48,69,67,39,70,59,71,60,62,66,73,76,74,77,58,69,53,50,59,43,55,47,45,62,72,70,70,41,39,38,13,6,11,6,6,63,69,67,67,67,69,71,71,67,71,60,57,60,56,48,56,15,Iván Martín,70,79,3500000,23,1706,CAM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
E. Laird,Ethan Laird,70,82,3700000,"RB,RWB",RM,England,https://cdn.sofifa.net/players/246/159/23_60.png,20,177,66,1825,407,Queens Park Rangers,31000,0,RB,2023,27,2018,TRUE,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,83,54,64,73,64,69,69,54,63,68,31,74,61,32,57,71,84,82,78,67,70,63,76,62,71,53,72,60,60,65,35,69,63,68,65,9,12,10,5,15,66,69,67,67,67,69,69,71,67,71,70,67,70,70,69,70,18,E. Laird,70,82,3700000,20,1825,RM,England,Midfield,Rotation 70-77,Midfield / Rotation 70-77
T. Campbell,Tyrese Campbell,70,76,2600000,"ST,RM,RW",ST,England,https://cdn.sofifa.net/players/240/783/23_60.png,22,183,75,1758,381,Stoke City,15000,5500000,ST,2024,10,2017,-,Left,4,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,82,69,60,70,33,67,59,72,63,66,64,71,56,54,46,69,84,80,69,69,67,67,73,59,74,65,58,28,67,61,73,65,31,31,24,6,13,13,12,14,72,69,69,69,69,69,70,69,62,69,54,51,54,52,49,52,20,T. Campbell,70,76,2600000,22,1758,ST,England,Forward,Rotation 70-77,Forward / Rotation 70-77
R. Camacho,Rudy Camacho,70,70,1100000,CB,CB,France,https://cdn.sofifa.net/players/206/485/23_60.png,31,185,79,1704,356,Club de Foot Montréal,5000,1700000,CB,2023,4,2022,-,Right,1,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,43,44,62,59,68,80,49,39,69,73,40,57,60,30,70,66,39,46,42,65,57,60,74,76,81,36,83,71,48,60,64,69,69,66,65,8,6,6,15,14,57,54,56,56,56,54,60,60,66,60,66,70,66,66,70,66,18,R. Camacho,70,70,1100000,31,1704,CB,France,Defender,Rotation 70-77,Defender / Rotation 70-77
David Ferreiro,David Ferreiro Quiroga,70,70,750000,"LM,RM,CM",RW,Spain,https://cdn.sofifa.net/players/205/212/23_60.png,34,170,63,1782,370,FC Cartagena,6000,1200000,RM,2024,7,2022,-,Right,3,4,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Low,82,67,70,73,37,41,71,68,32,71,46,72,76,72,70,70,83,82,86,65,90,66,70,36,31,69,64,28,66,64,70,63,59,23,36,6,11,7,7,15,65,70,69,69,69,70,70,70,64,70,56,53,56,53,46,53,18,David Ferreiro,70,70,750000,34,1782,RW,Spain,Forward,Rotation 70-77,Forward / Rotation 70-77
Arthur Silbeira,Douglas Arthur Silbeira Martins,70,70,1800000,ST,ST,Brazil,https://cdn.sofifa.net/players/230/299/23_60.png,26,178,78,1673,351,Santos,16000,3400000,SUB,2025,33,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,64,73,59,68,29,58,58,74,75,66,64,75,59,53,42,66,65,63,42,69,68,71,65,35,72,77,52,23,62,60,75,73,14,33,30,11,14,15,12,13,70,66,68,68,68,66,67,66,60,66,49,47,49,47,46,47,21,Arthur Silbeira,70,70,1800000,26,1673,ST,Brazil,Forward,Rotation 70-77,Forward / Rotation 70-77
F. Dabo,Fankaty Dabo,70,73,1900000,"RWB,RB,CB",RWB,England,https://cdn.sofifa.net/players/213/659/23_60.png,26,181,76,1821,398,Coventry City,12000,3800000,RWB,2023,23,2019,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,76,49,63,68,66,76,66,44,61,67,39,70,60,40,59,67,77,75,64,65,65,59,77,77,74,48,80,65,68,62,42,66,66,69,65,8,13,8,7,14,64,65,64,64,64,65,66,69,67,69,70,69,70,70,70,70,18,F. Dabo,70,73,1900000,26,1821,RWB,England,Defender,Rotation 70-77,Defender / Rotation 70-77
P. Jagielka,Phil Jagielka,70,70,275000,CB,CB,England,https://cdn.sofifa.net/players/053/914/23_60.png,39,180,87,1698,319,Stoke City,10000,523000,SUB,2022,6,2022,-,Right,3,2,2,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Low,Medium,32,45,55,52,72,63,48,32,73,66,44,44,55,31,68,62,32,32,31,70,61,64,66,32,74,52,73,71,44,39,51,74,73,72,69,32,33,38,32,34,54,48,50,50,50,48,53,51,59,51,60,68,60,62,70,62,39,P. Jagielka,70,70,275000,39,1698,CB,England,Defender,Rotation 70-77,Defender / Rotation 70-77
Roberto López,Roberto López Alcaide,70,81,3600000,"CM,CAM,RM",CAM,Spain,https://cdn.sofifa.net/players/246/169/23_60.png,22,180,70,1734,366,CD Mirandés,14000,0,CAM,2023,21,2021,TRUE,Left,2,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,57,69,71,71,40,58,63,70,21,76,48,72,62,75,72,73,55,59,67,65,74,69,40,59,68,74,35,57,68,72,68,69,15,58,45,13,11,10,13,7,66,69,69,69,69,69,73,70,72,70,60,61,60,56,50,56,19,Roberto López,70,81,3600000,22,1734,CAM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
F. Klos,Fabian Klos,70,70,775000,ST,ST,Germany,https://cdn.sofifa.net/players/192/663/23_60.png,34,194,93,1725,366,DSC Arminia Bielefeld,12000,1200000,SUB,2023,9,2011,-,Right,4,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,High,High,53,72,61,60,39,81,46,71,75,67,72,59,56,45,60,66,51,55,41,75,43,78,71,64,91,65,78,29,71,70,80,78,45,32,24,7,11,7,7,13,70,62,67,67,67,62,67,65,65,65,51,57,51,50,55,50,19,F. Klos,70,70,775000,34,1725,ST,Germany,Forward,Rotation 70-77,Forward / Rotation 70-77
Juan Cala,Juan Torres Ruiz,70,70,1000000,CB,CB,Spain,https://cdn.sofifa.net/players/186/519/23_60.png,32,185,78,1768,369,Cádiz CF,14000,2100000,RES,2024,16,2019,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High,50,53,60,59,69,78,59,46,72,69,47,56,66,40,65,62,45,54,60,65,53,72,80,75,80,59,78,70,36,47,46,59,69,69,66,15,8,14,15,10,59,55,55,55,55,55,58,59,63,59,67,70,67,67,70,67,20,Juan Cala,70,70,1000000,32,1768,CB,Spain,Defender,Rotation 70-77,Defender / Rotation 70-77
F. Nürnberger,Fabian Nürnberger,70,76,2500000,"CM,CDM,LM",CAM,Germany,https://cdn.sofifa.net/players/251/287/23_60.png,22,178,72,1869,406,1. FC Nürnberg,7000,4500000,SUB,2023,15,2019,-,Left,2,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,High,Medium,74,60,67,73,66,66,64,59,56,73,55,72,63,39,66,74,77,71,79,68,73,66,49,81,58,62,71,65,67,66,44,63,65,70,71,6,13,10,8,8,68,69,69,69,69,69,72,72,72,72,72,71,72,72,68,72,17,F. Nürnberger,70,76,2500000,22,1869,CAM,Germany,Midfield,Rotation 70-77,Midfield / Rotation 70-77
G. Biancone,Giulian Biancone,70,78,3300000,"CB,RWB,LWB",CB,France,https://cdn.sofifa.net/players/246/679/23_60.png,22,187,79,1783,385,Nottingham Forest,23000,6900000,SUB,2025,2,2022,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,68,45,62,66,69,75,70,29,68,67,35,66,66,44,58,70,64,72,54,66,56,62,67,75,78,59,70,65,62,51,48,66,68,72,71,8,14,11,8,9,61,62,61,61,61,62,63,66,65,66,71,69,71,71,72,71,18,G. Biancone,70,78,3300000,22,1783,CB,France,Defender,Rotation 70-77,Defender / Rotation 70-77
Flavio,Flavio Medeiros da Silva,70,71,1700000,"CDM,CM,CAM",CDM,Brazil,https://cdn.sofifa.net/players/234/134/23_60.png,26,177,73,1813,388,Al Taawoun,17000,0,CM,2023,24,2020,TRUE,Right,3,2,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,66,54,62,64,68,74,53,51,57,69,38,61,60,52,65,68,66,66,64,63,72,64,78,83,68,60,76,71,45,60,48,63,69,69,65,13,10,6,10,13,61,60,60,60,60,60,64,64,67,64,69,71,69,69,70,69,19,Flavio,70,71,1700000,26,1813,CDM,Brazil,Midfield,Rotation 70-77,Midfield / Rotation 70-77
V. Henry,Valentin Henry,70,70,1400000,RB,RB,France,https://cdn.sofifa.net/players/233/366/23_60.png,28,178,73,1883,409,FC Sochaux-Montbéliard,5000,2500000,SUB,2023,29,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,79,61,64,71,63,71,71,59,59,68,53,70,67,47,65,72,81,78,81,62,75,68,48,81,72,64,63,59,55,53,55,59,62,67,66,11,13,12,12,14,67,68,65,65,65,68,67,70,67,70,70,68,70,70,66,70,20,V. Henry,70,70,1400000,28,1883,RB,France,Defender,Rotation 70-77,Defender / Rotation 70-77
Josep Señé,Josep Señé Escudero,70,70,1500000,CM,CAM,Spain,https://cdn.sofifa.net/players/227/990/23_60.png,30,184,77,1842,388,CD Lugo,6000,2300000,CM,2023,8,2021,-,Right,4,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,68,63,70,72,50,65,66,63,61,74,59,72,63,60,73,77,65,70,70,69,62,58,60,69,71,66,46,59,69,70,65,66,35,54,56,14,16,7,13,10,69,70,70,70,70,70,70,70,70,70,66,65,66,64,59,64,21,Josep Señé,70,70,1500000,30,1842,CAM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Wanderson,Wanderson Carvalho Oliveira,70,70,1000000,"RM,CAM,LM",RM,Brazil,https://cdn.sofifa.net/players/229/343/23_60.png,33,172,60,1862,406,Pohang Steelers,5000,1300000,RM,2027,77,2022,-,Left,3,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,89,63,61,69,54,70,62,62,53,63,53,70,45,58,55,66,87,90,78,64,78,64,80,74,69,64,67,56,72,64,60,62,52,55,54,12,10,7,10,8,68,69,68,68,68,69,69,70,66,70,66,62,66,65,61,65,18,Wanderson,70,70,1000000,33,1862,RM,Brazil,Midfield,Rotation 70-77,Midfield / Rotation 70-77
J. Sánchez Miño,Juan Sánchez Miño,70,70,1100000,"LB,LM,CM",LB,Argentina,https://cdn.sofifa.net/players/201/953/23_60.png,32,177,76,1991,418,Club Atlético Colón,7000,1700000,SUB,2023,15,2022,-,Left,2,4,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,72,70,73,70,66,67,75,65,63,72,55,68,74,71,73,71,73,72,73,66,69,78,63,68,68,78,65,65,69,71,68,73,64,70,65,12,13,11,14,9,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,70,20,J. Sánchez Miño,70,70,1100000,32,1991,LB,Argentina,Defender,Rotation 70-77,Defender / Rotation 70-77
Sergi Palencia,Sergi Palencia Hurtado,70,72,1800000,"RB,RWB,RM",RWB,Spain,https://cdn.sofifa.net/players/228/321/23_60.png,26,172,68,1826,400,AS Saint-Étienne,5000,3400000,RWB,2023,13,2019,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,73,56,60,69,67,75,69,51,57,68,34,70,58,44,59,67,74,73,72,65,74,68,59,79,72,59,80,66,65,44,45,71,68,69,66,9,14,6,11,11,65,65,64,64,64,65,65,68,65,68,71,69,71,70,69,70,19,Sergi Palencia,70,72,1800000,26,1826,RWB,Spain,Defender,Rotation 70-77,Defender / Rotation 70-77
F. Downes,Flynn Downes,70,76,2300000,"CDM,CM",CDM,England,https://cdn.sofifa.net/players/240/097/23_60.png,23,177,70,1832,392,West Ham United,25000,4800000,SUB,2027,12,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,66,53,67,68,66,72,61,52,58,73,32,67,49,55,70,68,67,66,75,64,77,59,65,77,69,55,76,65,56,69,48,67,68,68,67,13,12,14,11,6,62,64,63,63,63,64,68,68,70,68,70,71,70,69,69,69,19,F. Downes,70,76,2300000,23,1832,CDM,England,Midfield,Rotation 70-77,Midfield / Rotation 70-77
J. Laurent,Josh Laurent,70,73,1800000,"CDM,CM,CAM",CB,England,https://cdn.sofifa.net/players/217/826/23_60.png,27,188,76,1919,417,Stoke City,15000,3600000,SUB,2025,28,2022,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,77,60,61,68,67,84,59,59,66,64,53,68,56,45,63,67,75,79,70,65,64,65,75,90,84,63,78,67,62,63,51,68,64,70,70,14,8,12,14,16,68,66,66,66,66,66,67,69,68,69,71,71,71,71,72,71,21,J. Laurent,70,73,1800000,27,1919,CB,England,Defender,Rotation 70-77,Defender / Rotation 70-77
Luismi,Luis Miguel Sánchez Benítez,70,70,1300000,"CDM,CM",CDM,Spain,https://cdn.sofifa.net/players/220/638/23_60.png,30,180,73,1683,363,Real Oviedo,6000,2100000,CM,2023,5,2021,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Low,High,59,40,59,62,68,75,44,26,59,67,33,59,34,32,70,64,58,60,60,68,65,65,80,73,76,48,72,71,40,64,38,63,66,70,68,6,11,12,11,13,55,55,55,55,55,55,60,60,66,60,66,70,66,67,70,67,19,Luismi,70,70,1300000,30,1683,CDM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
J. Giraudon,Jimmy Giraudon,70,70,1300000,CB,CB,France,https://cdn.sofifa.net/players/208/862/23_60.png,30,184,66,1627,348,AS Saint-Étienne,5000,2300000,CB,2024,5,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,50,36,58,58,72,74,50,29,72,71,34,54,46,33,70,64,60,42,60,62,43,54,76,77,74,34,72,67,39,45,40,61,73,74,70,8,8,9,7,10,53,52,52,52,52,52,56,58,63,58,67,70,67,68,70,68,16,J. Giraudon,70,70,1300000,30,1627,CB,France,Defender,Rotation 70-77,Defender / Rotation 70-77
Kike Pérez,Enrique Pérez Muñoz,70,75,2300000,"CM,CAM,CDM",CAM,Spain,https://cdn.sofifa.net/players/236/760/23_60.png,25,184,74,1801,375,Real Valladolid CF,12000,5000000,CM,2025,4,2019,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Low,57,59,68,74,60,57,53,59,57,75,49,76,68,58,71,74,55,59,74,70,69,56,66,52,57,66,59,63,62,71,43,66,54,65,59,9,14,13,15,10,65,67,67,67,67,67,72,68,72,68,64,68,64,63,64,63,20,Kike Pérez,70,75,2300000,25,1801,CAM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
D. Drexler,Dominick Drexler,70,70,1300000,"CAM,CM,RM",CAM,Germany,https://cdn.sofifa.net/players/198/617/23_60.png,32,182,71,1801,383,FC Schalke 04,13000,2300000,SUB,2023,24,2021,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,High,69,62,69,73,50,60,66,63,52,73,64,73,68,52,65,72,73,65,75,72,75,61,59,68,54,58,63,38,68,72,58,72,58,51,42,7,9,7,6,14,67,70,69,69,69,70,70,70,69,70,63,62,63,60,56,60,18,D. Drexler,70,70,1300000,32,1801,CAM,Germany,Midfield,Rotation 70-77,Midfield / Rotation 70-77
C. Zimmermann,Christoph Zimmermann,70,70,1300000,CB,CB,Germany,https://cdn.sofifa.net/players/239/322/23_60.png,29,194,92,1407,300,SV Darmstadt 98,11000,2100000,CB,2025,4,2022,-,Right,3,2,1,-,https://cdn.sofifa.net/flags/de.png,-,-,Low,High,39,30,42,42,70,77,20,25,71,57,33,35,26,20,64,47,31,45,33,65,39,50,72,65,85,22,74,68,22,33,37,68,71,70,72,11,9,9,12,14,46,37,40,40,40,37,43,43,52,43,58,66,58,61,70,61,19,C. Zimmermann,70,70,1300000,29,1407,CB,Germany,Defender,Rotation 70-77,Defender / Rotation 70-77
C. Medina,Cristian Medina,70,80,3500000,CM,CM,Argentina,https://cdn.sofifa.net/players/261/082/23_60.png,20,178,70,1849,400,Boca Juniors,7000,5600000,SUB,2025,36,2020,-,Right,3,3,1,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,High,69,59,68,72,64,68,65,60,51,71,49,72,62,52,68,72,70,68,71,69,72,57,57,84,60,59,72,64,67,69,54,69,65,67,62,8,8,12,6,6,66,68,67,67,67,68,71,72,72,72,71,71,71,69,66,69,16,C. Medina,70,80,3500000,20,1849,CM,Argentina,Midfield,Rotation 70-77,Midfield / Rotation 70-77
Ademilson,Ademilson Braga Bispo Júnior,70,70,1600000,"ST,LM",RW,Brazil,https://cdn.sofifa.net/players/207/835/23_60.png,28,176,74,1837,396,Wuhan Three Towns,12000,2500000,SUB,2023,7,2021,-,Right,2,4,1,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,92,69,62,71,31,71,57,68,63,70,66,69,63,49,50,69,90,93,90,67,72,70,91,79,71,68,57,29,68,67,72,65,24,31,22,13,11,6,14,8,70,70,70,70,70,70,70,70,65,70,57,53,57,54,48,54,19,Ademilson,70,70,1600000,28,1837,RW,Brazil,Forward,Rotation 70-77,Forward / Rotation 70-77
M. Cho,Mohamed-Ali Cho,70,85,3700000,ST,ST,France,https://cdn.sofifa.net/players/256/476/23_60.png,18,182,73,1640,367,Real Sociedad,7000,10100000,RES,2027,11,2022,-,Left,3,3,1,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,81,68,60,76,26,56,61,70,65,69,52,81,43,50,45,74,83,79,71,65,68,70,59,60,63,65,33,21,69,60,64,63,23,22,20,9,6,6,7,7,72,72,71,71,71,72,72,72,63,72,53,47,53,49,42,49,16,M. Cho,70,85,3700000,18,1640,ST,France,Forward,Rotation 70-77,Forward / Rotation 70-77
Fontàs,Andreu Fontàs Prat,70,70,1000000,CB,CDM,Spain,https://cdn.sofifa.net/players/192/476/23_60.png,32,185,89,1712,351,Sporting Kansas City,5000,1500000,CB,2022,3,2018,-,Left,3,2,1,-,https://cdn.sofifa.net/flags/es.png,-,-,Low,Medium,30,48,68,61,71,73,60,45,69,76,46,58,58,52,75,67,30,30,54,70,38,58,57,67,78,47,74,72,43,62,52,71,70,72,66,16,14,11,16,9,57,55,56,56,56,55,61,60,68,60,66,70,66,66,70,66,22,Fontàs,70,70,1000000,32,1712,CDM,Spain,Midfield,Rotation 70-77,Midfield / Rotation 70-77
M. Roberts,Marc Roberts,70,70,1100000,CB,CB,England,https://cdn.sofifa.net/players/228/829/23_60.png,31,193,81,1438,305,Birmingham City,17000,2100000,CB,2024,4,2017,-,Right,2,2,1,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Low,Medium,52,24,41,44,71,73,23,21,74,52,23,33,24,29,58,55,50,54,41,69,51,33,83,64,80,20,65,73,25,32,34,52,71,69,67,7,12,16,16,14,45,40,41,41,41,40,44,45,52,45,59,65,59,63,70,63,21,M. Roberts,70,70,1100000,31,1438,CB,England,Defender,Rotation 70-77,Defender / Rotation 70-77
